LATITUDE,LONGITUDE,OFFENSE,Count
38.89357429,-76.99731417,THEFT/OTHER,2
38.90909453,-77.04880506,THEFT F/AUTO,12
38.87553905,-77.01065992,THEFT F/AUTO,3
38.87652596,-77.00909794,THEFT/OTHER,28
38.9496781,-77.0795769,THEFT F/AUTO,4
38.91965892,-77.07104478,THEFT F/AUTO,1
38.82359656,-77.00889024,ASSAULT W/DANGEROUS WEAPON,3
38.90373219,-77.02885658,THEFT F/AUTO,5
38.90352849,-77.0650107,THEFT F/AUTO,4
38.83246994,-77.0082579,THEFT/OTHER,5
38.91151548,-77.02852535,THEFT F/AUTO,4
38.91454267,-77.07024408,THEFT/OTHER,1
38.94450407,-77.02790411,THEFT/OTHER,2
38.8326232,-77.0065188,THEFT F/AUTO,1
38.90220295,-76.98201546,THEFT/OTHER,69
38.90389247,-77.05808221,THEFT F/AUTO,5
38.92093264,-76.99716323,THEFT/OTHER,17
38.91334255,-77.03455646,THEFT F/AUTO,2
38.89092439,-76.9814996,THEFT F/AUTO,2
38.89673288,-77.02809292,THEFT/OTHER,44
38.90048017,-77.02885526,THEFT/OTHER,11
38.91591297,-77.02191998,THEFT/OTHER,46
38.90723312,-77.04009912,THEFT F/AUTO,22
38.89734582,-77.02651386,THEFT/OTHER,78
38.9420106,-76.98125565,THEFT/OTHER,1
38.96197109,-77.0279571,THEFT/OTHER,78
38.91810033,-77.09638864,THEFT F/AUTO,1
38.90304151,-76.98817157,THEFT/OTHER,5
38.89782251,-77.02962655,THEFT/OTHER,38
38.92012343,-77.04185915,MOTOR VEHICLE THEFT,1
38.90935763,-77.04414724,THEFT/OTHER,35
38.95140718,-77.08031717,THEFT F/AUTO,4
38.92467176,-77.10187531,THEFT F/AUTO,2
38.90803737,-77.03195975,THEFT/OTHER,16
38.87733995,-76.93289264,BURGLARY,1
38.89913023,-77.02294082,THEFT F/AUTO,6
38.95080062,-77.02887563,MOTOR VEHICLE THEFT,2
38.90761973,-77.06235113,THEFT F/AUTO,4
38.90643036,-77.06285738,THEFT/OTHER,15
38.8688523,-76.9735313,THEFT F/AUTO,2
38.92283912,-76.97217356,THEFT F/AUTO,4
38.95012735,-76.98314547,THEFT F/AUTO,1
